,Pigs_FR,Ruminant_FR,Poultry_FR
ERR1738541,1,0,0
ERR1738544,0,0,1
ERR1738547,1,0,0
ERR1738549,1,0,0
ERR1738550,1,0,0
ERR1738555,1,0,0
ERR1738559,1,0,0
ERR1738562,0,0,1
ERR1738563,1,0,0
ERR1738566,1,0,0
ERR1738577,1,0,0
ERR1738578,1,0,0
ERR1738579,1,0,0
ERR1738580,1,0,0
ERR1738583,1,0,0
ERR1738584,1,0,0
ERR1738586,1,0,0
ERR1738587,0,0,1
ERR1738590,1,0,0
ERR1738591,1,0,0
ERR1738592,1,0,0
ERR1738593,1,0,0
ERR1738594,1,0,0
ERR1738595,0,0,1
ERR1738596,0,1,0
ERR1738597,1,0,0
ERR1738599,1,0,0
ERR1738604,0,1,0
ERR1738605,1,0,0
ERR1738606,1,0,0
ERR1738609,1,0,0
ERR1738613,0,0,1
ERR1738618,1,0,0
ERR1738625,1,0,0
ERR1738627,0,0,1
ERR1738635,1,0,0
ERR1738636,0,0,1
ERR2163265,0,1,0
ERR2163266,1,0,0
ERR2163267,1,0,0
ERR2163268,1,0,0
ERR2163269,1,0,0
ERR2163270,1,0,0
ERR2163272,0,1,0
ERR2179233,1,0,0
ERR2179234,1,0,0
ERR2179235,0,0,1
ERR2179236,1,0,0
ERR2179237,1,0,0
ERR2179238,0,0,1
ERR2179240,1,0,0
ERR2179241,1,0,0
ERR2179242,1,0,0
ERR2179243,0,0,1
ERR2179244,1,0,0
ERR2179245,0,0,1
ERR2232736,1,0,0
ERR2232737,1,0,0
ERR2232766,0,0,1
ERR2232767,0,0,1
ERR2232768,0,0,1
ERR2232769,1,0,0
ERR2232770,1,0,0
ERR2232772,1,0,0
ERR2232773,0,1,0
ERR2234328,1,0,0
ERR2234329,1,0,0
ERR2234454,1,0,0
ERR2234455,0,1,0
